TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
localhost/struts2maventest002,struts2maventest002,user,userid,,1,,NO,varchar(10),1,
localhost/struts2maventest002,struts2maventest002,user,username,,2,,YES,varchar(45),,
localhost/struts2maventest002,struts2maventest002,user,password,,3,,YES,char(128),,
localhost/struts2maventest002,struts2maventest002,user,permission,,4,,YES,char(2),,
localhost/struts2maventest002,struts2maventest002,user,delflg,,5,,YES,char(2),,
localhost/struts2maventest002,struts2maventest002,user,lastupdate,,6,,YES,datetime,,
